date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:27	44054/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Apr%202018%2011:52:27%20GMT	https://banks-off.ru/	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/index.html	(from )
14:52:27	292/292	U-----	200	untouched ('OK')	text/plain	etag:%225a143159-124%22	https://banks-off.ru/robots.txt		(from )
14:52:27	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Apr%202018%2011:52:27%20GMT	http://banks-off.ru/favicon.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/favicon.0.delayed	(from https://banks-off.ru/)
14:52:27	531/531	---M--	200	added ('OK')	image/png	etag:%225a143159-213%22	https://banks-off.ru/favicon.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/favicon.png	(from https://banks-off.ru/)
14:52:27	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Apr%202018%2011:52:28%20GMT	http://banks-off.ru/css/style.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/css/style.css	(from https://banks-off.ru/)
14:52:28	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Apr%202018%2011:52:28%20GMT	http://banks-off.ru/css/mkb.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/css/mkb.css	(from https://banks-off.ru/)
14:52:28	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Apr%202018%2011:52:28%20GMT	http://banks-off.ru/css/jquery.formstyler.css	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/css/jquery.formstyler.css	(from https://banks-off.ru/)
14:52:28	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Apr%202018%2011:52:29%20GMT	http://banks-off.ru/js/jquery-3.1.1.min.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/banks-off.ru/js/jquery-3.1.1.min.js	(from https://banks-off.ru/)
14:52:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Apr%202018%2011:52:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/www.googletagmanager.com/gtm.65445.delayed	(from https://banks-off.ru/)
14:52:29	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225571-5684852cd9116%22	http://cdn.sendpulse.com/28edd3380a1c17cf65b137fe96516659/js/push/c01958ba5bc9f5da1cc43fc8a1065810_1.js	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/1/cdn.sendpulse.com/28edd3380a1c17cf65b137fe96516659/js/push/c01958ba5bc9f5da1cc43fc8a1065810_1.js	(from https://banks-off.ru/)
